Year,# Deaths,Population,Age,Category
2014,0,"40,386,201",Child,Suicide
2014,932,"41,729,870",Teen,Suicide
2015,1,"40,391,674",Child,Suicide
2015,"1,016","41,704,784",Teen,Suicide
2016,0,"40,349,081",Child,Suicide
2016,"1,102","41,778,586",Teen,Suicide
